productId,productName,size,price,color,brand,description,model info,composition,Measure,other info,pic1,pic2,pic3
90,Cashmere Turtleneck Sweater,L,$495.00,Grey,Derek Lam 10 Crosby,"Derek Lam 10 Crosby's turtleneck sweater is stockinette-stitched from grey mélange brushed cashmere. Cut with a relaxed fit, this soft style is finished with ribbed panels at the drop shoulders, cuffs, and hem.",Model Height: 178 cm wearing a size S,100% cashmere,,Dry Clean; Imported,image 11_1,image 11_2,image 11_3
91,Cashmere Crop Sweater,0,$495.00,Black,Barneys New York,Barneys New York's sweater is stockinette-stitched from black cashmere. The soft style is designed with a cropped silhouette.,Model Height: 178 cm wearing a size 2,100% cashmere,,Dry Clean; Made in Italy,image 11_a1,image 11_a2,image 11_a3
92,Cashmere Crop Sweater,2,$495.00,Black,Barneys New York,Barneys New York's sweater is stockinette-stitched from black cashmere. The soft style is designed with a cropped silhouette.,Model Height: 178 cm wearing a size 3,100% cashmere,,Dry Clean; Made in Italy,image 11_a1,image 11_a2,image 11_a3
93,Cashmere Crop Sweater,4,$495.00,Black,Barneys New York,Barneys New York's sweater is stockinette-stitched from black cashmere. The soft style is designed with a cropped silhouette.,Model Height: 178 cm wearing a size 4,100% cashmere,,Dry Clean; Made in Italy,image 11_a1,image 11_a2,image 11_a3
94,Cashmere Crop Sweater,6,$495.00,Black,Barneys New York,Barneys New York's sweater is stockinette-stitched from black cashmere. The soft style is designed with a cropped silhouette.,Model Height: 178 cm wearing a size 5,100% cashmere,,Dry Clean; Made in Italy,image 11_a1,image 11_a2,image 11_a3
95,Cashmere Crop Sweater,8,$495.00,Black,Barneys New York,Barneys New York's sweater is stockinette-stitched from black cashmere. The soft style is designed with a cropped silhouette.,Model Height: 178 cm wearing a size 6,100% cashmere,,Dry Clean; Made in Italy,image 11_a1,image 11_a2,image 11_a3
96,Boyd Cashmere Turtleneck Sweater,0,$795.00,Sky Blue,Nili Lotan,Nili Lotan's Boyd sweater is assembled from blue stockinette-stitched cashmere. This wardrobe staple by the New York designer is finished with drop shoulders and a relaxed silhouette.,Model Height: 178 cm wearing a size 7,100% cashmere,,Dry Clean; Imported,image 11_b1,image 11_b2,image 11_b3
97,Boyd Cashmere Turtleneck Sweater,2,$795.00,Sky Blue,Nili Lotan,Nili Lotan's Boyd sweater is assembled from blue stockinette-stitched cashmere. This wardrobe staple by the New York designer is finished with drop shoulders and a relaxed silhouette.,Model Height: 178 cm wearing a size 8,100% cashmere,,Dry Clean; Imported,image 11_b1,image 11_b2,image 11_b3
98,Boyd Cashmere Turtleneck Sweater,4,$795.00,Sky Blue,Nili Lotan,Nili Lotan's Boyd sweater is assembled from blue stockinette-stitched cashmere. This wardrobe staple by the New York designer is finished with drop shoulders and a relaxed silhouette.,Model Height: 178 cm wearing a size 9,100% cashmere,,Dry Clean; Imported,image 11_b1,image 11_b2,image 11_b3
99,Boyd Cashmere Turtleneck Sweater,6,$795.00,Sky Blue,Nili Lotan,Nili Lotan's Boyd sweater is assembled from blue stockinette-stitched cashmere. This wardrobe staple by the New York designer is finished with drop shoulders and a relaxed silhouette.,Model Height: 178 cm wearing a size 10,100% cashmere,,Dry Clean; Imported,image 11_b1,image 11_b2,image 11_b3
100,Colorblocked Merino Wool-Cashmere Sweater,XS,950,Black&Red,Dries van Noten,"Dries Van Noten's navy, brown, and white sweater is rib-knit from ultra-soft merino wool-cashmere. This style showcases the colorblocked motif that occurs throughout the Belgian designer's collection this season.",Model Height: 178 cm wearing a size 11,"82% merino wool, 18% cashmere",,Dry Clean; Made in Belgium,image 11_c1,image 11_c2,image 11_c3
101,Colorblocked Merino Wool-Cashmere Sweater,S,950,Black&Red,Dries van Noten,"Dries Van Noten's navy, brown, and white sweater is rib-knit from ultra-soft merino wool-cashmere. This style showcases the colorblocked motif that occurs throughout the Belgian designer's collection this season.",Model Height: 178 cm wearing a size 12,"82% merino wool, 18% cashmere",,Dry Clean; Made in Belgium,image 11_c1,image 11_c2,image 11_c3
102,Colorblocked Merino Wool-Cashmere Sweater,M,950,Black&Red,Dries van Noten,"Dries Van Noten's navy, brown, and white sweater is rib-knit from ultra-soft merino wool-cashmere. This style showcases the colorblocked motif that occurs throughout the Belgian designer's collection this season.",Model Height: 178 cm wearing a size 13,"82% merino wool, 18% cashmere",,Dry Clean; Made in Belgium,image 11_c1,image 11_c2,image 11_c3
103,Colorblocked Merino Wool-Cashmere Sweater,L,950,Black&Red,Dries van Noten,"Dries Van Noten's navy, brown, and white sweater is rib-knit from ultra-soft merino wool-cashmere. This style showcases the colorblocked motif that occurs throughout the Belgian designer's collection this season.",Model Height: 178 cm wearing a size 14,"82% merino wool, 18% cashmere",,Dry Clean; Made in Belgium,image 11_c1,image 11_c2,image 11_c3
